"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"newton_recursive_c.exe","139,67","1,992","0,434","1,73","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","140,62","1,992","0,434","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","169,73","1,992","0,43","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","164,42","1,992","0,43","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","165,14","1,992","0,434","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","169,48","1,992","0,43","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","165,4","1,992","0,438","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","165,9","1,992","0,434","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","155,18","1,992","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","168,93","1,992","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","174,91","1,992","0,434","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","92,65","1,992","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","98,14","1,988","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","177,09","1,992","0,43","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","163,16","1,992","0,43","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","97,01","1,992","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","158,45","1,992","0,43","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","162,01","1,992","0,43","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","160,03","1,992","0,434","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","164,06","1,992","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","90,53","1,988","0,422","2,6","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","91,96","1,992","0,43","1,3","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","164,89","1,992","0,434","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","168,19","1,992","0,434","1,73","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","159,6","1,992","0,422","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","155,94","1,992","0,426","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","171,56","1,992","0,434","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","148,47","1,992","0,43","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","91,7","1,992","0,43","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","152,03","1,992","0,426","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","168,13","1,992","0,434","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","140,93","1,992","0,438","0","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","141,38","1,992","0,43","0,87","o3_newton_recursive_c.s","172"
"newton_recursive_c.exe","168,48","1,992","0,434","0","o3_newton_recursive_c.s","172"
