"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"nr_recursive_hs.exe","110,14","1,992","3,043","5,21","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","146,67","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","144,45","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","181,98","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","142,35","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,89","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","140,15","1,992","3,039","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","150,57","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","153,55","4,188","3,828","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","159,24","1,992","3,031","2,6","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","154,32","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","152,79","1,992","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","162,62","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","169,8","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","174,03","3,211","3,477","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","158,36","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","134,26","1,992","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,1","3,344","3,543","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","140,84","7,895","14,07","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,3","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","176,13","3,547","3,73","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","168,8","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,85","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","173,27","5,023","3,898","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","181,63","1,992","3,039","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","171,35","1,992","3,039","1,73","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","167,97","1,992","3,039","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","158,84","2,43","3,148","2,6","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","244,43","2,41","3,066","2,6","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","147,09","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","143,46","1,992","3,031","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","146,86","1,992","3,043","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","150,08","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","166,82","1,992","3,039","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","155,12","1,992","3,043","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","159,17","1,992","3,043","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","158,59","1,992","3,043","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","161,7","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","160,74","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,6","4,859","3,906","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","142,84","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","162,35","1,992","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","159,36","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","170,48","2,344","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","163,14","1,988","3,031","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","172,05","4,129","3,82","1,74","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","169,89","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","151,14","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","177,03","1,988","3,031","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","149,94","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","151,19","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","141,46","1,992","3,035","0","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","155,18","1,992","3,031","3,47","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","163,45","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","160,68","1,992","3,043","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","164,82","1,992","3,035","0,87","o3_nr_recursive_hs.s","576"
"nr_recursive_hs.exe","160,77","1,992","3,039","0,87","o3_nr_recursive_hs.s","576"
