Quantidade De Iterações: 29, Raiz: -1.7693
Iteração 1: x = 0.19999000000000000, f(x) = 1.60801880005999909
Iteração 2: x = 1.05531368959166016, f(x) = 1.06466174036049099
Iteração 3: x = 0.26141857236564159, f(x) = 1.49502811423022353
Iteração 4: x = 1.09431213642198211, f(x) = 1.12183535926912215
Iteração 5: x = 0.38988821341821145, f(x) = 1.27949157956551085
Iteração 6: x = 1.21859511047344737, f(x) = 1.37239188736166096
Iteração 7: x = 0.65955827965216807, f(x) = 0.96780258679032416
Iteração 8: x = 2.05218292681828540, f(x) = 6.53830971241936609
Iteração 9: x = 1.43735447719822318, f(x) = 2.09484799361946461
Iteração 10: x = 0.93833920369395774, f(x) = 0.94951092743226950
Iteração 11: x = -0.54193779706965728, f(x) = 2.92471031879311649
Iteração 12: x = 2.07195394308214542, f(x) = 6.75097618255276899
Iteração 13: x = 1.45140159917880140, f(x) = 2.15467093670522347
Iteração 14: x = 0.95260051731552009, f(x) = 0.95923415725460237
Iteração 15: x = -0.37534734517805690, f(x) = 2.69781364333745755
Iteração 16: x = 1.33500573135532141, f(x) = 1.70928955611512867
Iteração 17: x = 0.82427011790778981, f(x) = 0.91148637930003473
Iteração 18: x = -22.99691842890187843, f(x) = -12114.11636500976419484
Iteração 19: x = -15.35189177472175182, f(x) = -3585.43899032972876739
Iteração 20: x = -10.26646381961115395, f(x) = -1059.55522698081040289
Iteração 21: x = -6.89424102904922620, f(x) = -311.89865046095269463
Iteração 22: x = -4.67576939063988917, f(x) = -90.87396293635390521
Iteração 23: x = -3.24667415020567240, f(x) = -25.72949664489208388
Iteração 24: x = -2.37809988834093211, f(x) = -6.69280901744267709
Iteração 25: x = -1.93090127299541869, f(x) = -1.33733061325970670
Iteração 26: x = -1.78530406566744726, f(x) = -0.11971045368851074
Iteração 27: x = -1.76947339481144295, f(x) = -0.00133827857754953
Iteração 28: x = -1.76929237777152015, f(x) = -0.00000017393596830
Iteração 29: x = -1.76929235423863185, f(x) = -0.00000000000000355
